feature,importance
items_days_since_last_item,0.2774211689253737
coll_days_since_last_item,0.14234735256294495
user_player_lifespan_days,0.10789390447292165
char_last_updated_days_ago,0.08093939546715305
reward_last_claim_days_ago,0.05914815747514098
reward_current_day_max,0.051304003835546244
coll_first_item_days_ago,0.04965318276059289
reward_first_created_days_ago,0.019786058900083114
items_first_item_days_ago,0.015708359037892455
country,0.011101505743943701
device_days_since_last_active,0.010789333430087781
coll_items_last_30d,0.010495370944392218
items_attack_defense_ratio,0.007639095389330489
items_mean_defense,0.007211531545152359
coll_collection_span_days,0.006723959440644496
char_talent_total_max,0.006602177346155507
user_created_at_days_ago,0.006571007604064609
reward_claim_rate,0.006563398037841135
items_mean_attack,0.006463613461972456
char_experience_mean,0.006334516764746995
char_first_created_days_ago,0.006164899842108313
char_attack_max,0.0061030682779839585
char_experience_max,0.005910756046457617
items_mean_enhance_level,0.005809567940082796
char_attack_defense_sum_max,0.005681023736838536
char_defense_max,0.005569054108018492
char_level_max,0.005282120746762136
device_first_seen_days_ago,0.005249789189957845
char_level_mean,0.0052068837982320836
char_talent_spent_max,0.004994952088233925
has_user_rated_app,0.003767162040760709
items_total_instances,0.003759860199395662
items_total_enhance_invested,0.003711842974999367
coll_total_items,0.0036235982908400443
coll_items_last_90d,0.0035580255508757346
items_unique_definitions,0.0034146869036880798
device_primary_platform,0.003229355637916851
language,0.003176878355819681
items_redundancy_ratio,0.0031354299360399195
user_store_where_published,0.0027980392324811216
items_mean_critical,0.00207675906665719
char_cosmetic_score,0.001888617785803353
items_max_enhance_level,0.001853327741813243
char_talent_pct_spent,0.0017982507858946798
char_class_main,0.0016105567274518552
focus,0.0016054146693500542
char_medals_max,0.0015158232931393276
char_arena_category_max,0.0014285887290950302
char_critical_chance_max,0.000866417060339994
char_equip_slots_filled_max,0.0008299135937072889
reward_ad_days_max,0.0007974434822074451
char_count,0.00039481682717385934
coll_unique_families,0.0003828792099104716
char_classes_unique,0.00034358525022480787
device_records_total,0.00031195106044299315
device_has_android,0.0002826679108063963
reward_has_ad,0.0002798483211819245
device_has_ios,0.00026266786531688603
device_unique_models,0.00021809814902122988
is_google_play,0.0002073721947862535
char_has_multiple,0.00017998312464064575
reward_records_total,2.092910756147785e-05
